step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
20,0,0.001,9.53357,2000,3.71172,3.61833,3.05512,3.81325,510.57,482.664,1838.05,1737.59,9.99219,1764.25,54.5593,78.596,765.625,765.625,0.216352,432.703,0.00380241,7.60481,12.1623,24324.6,259.859,-0.424561,-2.89229e-11,0.368699,3.53442,9521.23
21,0,0.001,9.32035,2000,3.76546,3.66872,3.07574,3.8707,513.145,484.398,1847.32,1743.83,10.8203,1767.16,52.9938,76.8494,765.625,765.625,0.215148,430.297,0.0033844,6.7688,12.0753,24150.7,261.109,-0.399752,2.7222e-11,0.383229,2.42825,9969.34
22,0,0.001,9.37475,2000,3.77223,3.67931,3.11291,3.87298,513.863,485.219,1849.91,1746.79,10.7109,1766.27,52.4836,76.1625,765.625,765.625,0.215832,431.664,0.00332379,6.64758,11.9834,23966.8,261.465,-0.379755,5.22669e-11,0.373244,2.46837,10419.2
23,0,0.001,9.87859,2000,3.7657,3.66715,3.07964,3.87321,514.363,485.375,1851.71,1747.35,10.7969,1766.87,52.4128,76.1667,765.625,765.625,0.215695,431.391,0.00318512,6.37025,12.0314,24062.8,261.727,-0.379161,5.14703e-12,0.45101,2.24719,10851.8
24,0,0.001,10.6589,2000,3.76994,3.6723,3.06817,3.87639,513.332,485.266,1848,1746.96,10.2266,1765.27,52.9914,76.7705,765.625,765.625,0.217066,434.133,0.00347315,6.94629,12.043,24086,261.18,-0.402563,3.82301e-11,0.457213,2.37338,11309
25,0,0.001,11.0644,2000,3.72428,3.6252,3.0416,3.83246,513.273,485.219,1847.78,1746.79,9.89844,1758.59,52.9366,76.827,765.625,765.625,0.217863,435.727,0.00348696,6.97391,12.1034,24206.7,261.172,-0.385424,-1.65577e-11,0.498439,2.41599,11783.6
26,0,0.001,11.1745,2000,3.7109,3.61063,2.99507,3.8203,512.293,484.18,1844.25,1743.05,9.79688,1780,53.0347,77.0952,765.625,765.625,0.217598,435.195,0.00324865,6.4973,12.1935,24386.9,260.66,-0.368871,-9.15428e-11,0.525882,2.21102,12249.3
27,0,0.001,10.8616,2000,3.56478,3.46552,2.86198,3.67337,509.887,483.238,1835.59,1739.66,7.92969,1775.32,54.0546,78.7985,765.625,765.625,0.221795,443.59,0.0041514,8.3028,12.5519,25103.8,259.398,-0.43979,1.05258e-11,0.608566,2.29544,12701
28,0,0.001,9.94438,2000,3.62921,3.52619,2.85118,3.74192,511.695,484.402,1842.1,1743.85,8.5,1814.88,53.1745,77.8605,765.625,765.625,0.220951,441.902,0.00396734,7.93469,12.53,25060,260.379,-0.433483,5.70745e-12,0.622705,2.42002,13148.8
29,0,0.001,9.50675,2000,3.65112,3.54847,2.85528,3.76272,515.652,487.867,1856.35,1756.32,8.73438,1781.21,51.0243,75.593,765.625,765.625,0.222098,444.195,0.00405423,8.10847,12.4863,24972.7,262.359,-0.464406,1.14487e-11,0.661505,3.59082,13595.9
30,0,0.001,9.38219,2000,3.77221,3.65328,2.86741,3.90151,517.926,490.758,1864.53,1766.73,8.97656,1841.5,49.9762,73.9464,765.625,765.625,0.222937,445.875,0.0043391,8.6782,12.2463,24492.6,263.508,-0.503702,-3.95221e-10,0.7216,2.3384,14019.9
31,0,0.001,10.1319,2000,3.72327,3.61632,2.85698,3.83934,517.949,490.602,1864.62,1766.17,8.99219,1843,50.2139,74.5829,765.625,765.625,0.22282,445.641,0.00416054,8.32107,12.404,24808.1,263.496,-0.479864,-4.94392e-12,0.675415,2.32981,14457
32,0,0.001,10.4784,2000,3.83436,3.70036,2.99099,3.98032,516.234,490.309,1858.44,1765.11,9.14844,1879.7,50.8737,73.6985,765.625,765.625,0.222283,444.566,0.00390942,7.81885,11.7243,23448.5,262.508,-0.427578,-8.17523e-12,0.740317,2.34315,14910
33,0,0.001,11.1639,2000,3.75018,3.64493,2.88312,3.8646,518.348,490.625,1866.05,1766.25,9.21875,1805.44,49.8533,74.1527,765.625,765.625,0.222266,444.531,0.00374481,7.48962,12.352,24704.1,263.68,-0.457912,2.37826e-11,0.634977,2.34532,15388.2
34,0,0.001,11.1149,2000,3.8285,3.72332,2.95586,3.94233,520.977,493.129,1875.52,1775.26,9.65625,1831.59,48.7628,72.7285,765.625,765.625,0.222424,444.848,0.00373136,7.46272,12.1781,24356.2,264.977,-0.438801,-1.28888e-11,0.597685,2.39565,15860.1
35,0,0.001,10.937,2000,3.7956,3.68587,2.88393,3.91444,522.227,495.105,1880.02,1782.38,8.83594,1804.04,48.3221,72.3659,765.625,765.625,0.225463,450.926,0.00450847,9.01694,12.2489,24497.8,265.598,-0.526897,-2.32914e-11,0.646061,2.29018,16321.8
36,0,0.001,9.9617,2000,3.95115,3.82993,2.92411,4.08244,526.559,499.863,1895.61,1799.51,9.30469,1872.68,46.5677,69.9997,765.625,765.625,0.22667,453.34,0.00489996,9.79993,11.9683,23936.7,267.785,-0.591304,5.5595e-11,0.653924,2.1662,16766.5
37,0,0.001,9.16894,2000,4.00214,3.87669,2.94993,4.13811,527.82,500.906,1900.15,1803.26,9.76562,1860.12,46.3791,69.4164,765.625,765.625,0.226039,452.078,0.00470778,9.41557,11.7872,23574.4,268.387,-0.604163,1.4736e-11,0.648565,2.29447,17207.5
