step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,16.3364,2000,0.806202,0.7573,0.951596,0.832626,259.465,203.863,934.073,733.908,15.8398,1255.99,282.958,340.68,765.625,765.625,0.062332,124.664,-0.00012279,-0.245579,20.214,40428,93.3203,-0.00480342,1.24989e-12,1.09861,3.15087,468.288
1,0,0.001,15.3463,2000,1.1164,1.04008,1.28497,1.15785,322.293,267.102,1160.25,961.566,20.7031,1249.97,252.762,305.98,765.625,765.625,0.081793,163.586,0.0028013,5.60261,18.7213,37442.6,114.27,-0.238297,-3.46952e-11,1.08908,7.1885,957.558
2,0,0.001,14.8974,2000,1.57292,1.47872,2.03121,1.62375,393.375,348.305,1416.15,1253.9,16.2812,1307.93,217.262,264.848,765.625,765.625,0.133449,266.898,0.00980118,19.6024,16.6683,33336.6,138.059,-0.878177,-4.44017e-11,1.05323,3.93621,1406.46
3,0,0.001,13.7005,2000,1.87027,1.78487,2.58557,1.91572,436.242,403.297,1570.47,1451.87,6.38672,1392.87,195.545,241.034,765.625,765.625,0.185682,371.363,0.0148886,29.7772,15.7891,31578.3,152.359,-1.37012,2.23879e-11,1.00603,2.30169,1850.46
4,0,0.001,12.9429,2000,1.78757,1.66334,2.55681,1.85648,379.367,357.012,1365.72,1285.24,0.515625,1392.01,224.344,265.928,765.625,765.625,0.177217,354.434,0.0104367,20.8734,14.8262,29652.5,133.449,-0.945903,1.81773e-12,1.00585,2.24787,2291.74
5,0,0.001,14.3596,2000,2.00104,1.92898,2.78465,2.03882,460,426.547,1656,1535.57,6.96875,1404.41,183.68,228.991,765.625,765.625,0.195852,391.703,0.0124124,24.8248,15.5655,31131,160.25,-1.13141,6.87811e-11,0.949772,2.33048,2749.22
6,0,0.001,13.4389,2000,2.07118,1.99014,2.87503,2.11399,462.254,433.609,1664.11,1560.99,3.39844,1430.84,182.311,226.483,765.625,765.625,0.208309,416.617,0.0132425,26.4849,15.2518,30503.5,161.016,-1.20858,-3.45646e-12,0.929061,2.38638,3185.46
7,0,0.001,12.8836,2000,2.12782,2.01148,2.93068,2.19092,446.492,423.602,1607.37,1524.97,0.523438,1470,190.29,231.886,765.625,765.625,0.210492,420.984,0.0124426,24.8851,14.616,29232,155.805,-1.12931,1.58241e-11,0.935615,2.54189,3608.95
8,0,0.001,13.5809,2000,2.18238,2.08544,2.96793,2.23413,465.348,440.828,1675.25,1586.98,1.46875,1477.67,181.205,223.59,765.625,765.625,0.216742,433.484,0.012831,25.662,14.738,29476,162.117,-1.1739,2.10899e-11,0.928,3.01654,4071.75
9,0,0.001,12.9251,2000,2.25458,2.15468,3.04121,2.3079,472.273,448.383,1700.18,1614.18,1.26172,1487.39,177.374,219.185,765.625,765.625,0.221037,442.074,0.0128951,25.7903,14.5342,29068.4,164.383,-1.17192,2.24539e-11,0.89446,7.47277,4536.67
10,0,0.001,12.8544,2000,2.29687,2.19849,3.08371,2.34926,478.012,454.055,1720.84,1634.6,1.21094,1486.08,174.604,216.21,765.625,765.625,0.224,448,0.0127709,25.5418,14.4417,28883.4,166.246,-1.16189,4.62159e-12,0.859257,2.31965,4997
11,0,0.001,13.11,2000,2.27892,2.19593,3.09243,2.32268,484.703,459.309,1744.93,1653.51,1.97656,1477.05,171.107,213.68,765.625,765.625,0.224713,449.426,0.0121643,24.3286,14.6817,29363.4,168.523,-1.10032,-5.63374e-13,0.861183,2.40246,5444.56
12,0,0.001,13.8971,2000,2.24797,2.18355,3.10076,2.28149,489.824,461.535,1763.37,1661.53,3.42578,1450.07,167.69,211.49,765.625,765.625,0.222203,444.406,0.010808,21.616,14.9741,29948.2,170.059,-0.961384,-2.53205e-11,0.845294,2.33257,5905.07
13,0,0.001,13.1208,2000,2.29821,2.218,3.12174,2.34041,489.191,463.594,1761.09,1668.94,1.71484,1470.77,168.138,210.854,765.625,765.625,0.22751,455.02,0.011525,23.05,14.7105,29421.1,169.895,-1.03269,5.68708e-12,0.869739,2.33901,6349.24
14,0,0.001,13.0809,2000,2.33153,2.24534,3.14853,2.37701,493.5,468.988,1776.6,1688.36,1.21484,1481.43,166.788,209.25,765.625,765.625,0.231457,462.914,0.0119864,23.9728,14.6555,29311,171.422,-1.09463,-2.22128e-12,0.86546,2.31417,6808.35
15,0,0.001,13.2392,2000,2.42735,2.31432,3.21534,2.48792,496.383,474.387,1786.98,1707.79,0.554688,1522.76,165.702,206.813,765.625,765.625,0.235807,471.613,0.0126203,25.2406,14.3328,28665.6,172.305,-1.15516,-4.95607e-12,0.863648,4.10626,7262.27
16,0,0.001,13.1592,2000,2.41755,2.32935,3.21861,2.46407,503.902,480.453,1814.05,1729.63,0.984375,1490.31,161.729,203.872,765.625,765.625,0.237766,475.531,0.0126263,25.2526,14.5381,29076.1,174.895,-1.15314,2.49322e-11,0.826872,2.3729,7700.08
17,0,0.001,13.1901,2000,2.37654,2.30593,3.21329,2.41341,502.938,477.434,1810.58,1718.76,1.625,1468.07,161.265,204.203,765.625,765.625,0.234654,469.309,0.0112276,22.4551,14.7105,29420.9,174.418,-1.00488,-4.04579e-11,0.781106,2.4843,8179.66
18,0,0.001,12.7003,2000,2.60932,2.48857,3.34545,2.67399,523.062,501.379,1883.03,1804.96,0.542969,1533.02,152.766,193.319,765.625,765.625,0.249332,498.664,0.0149078,29.8156,14.1364,28272.7,181.199,-1.38635,-1.10326e-11,0.81177,2.93972,8620.75
19,0,0.001,13.0437,2000,2.71367,2.59159,3.40637,2.77893,536.574,515.625,1931.67,1856.25,0.59375,1552.39,147.609,187.642,765.625,765.625,0.256328,512.656,0.0163487,32.6974,13.9361,27872.3,185.758,-1.54307,4.62092e-11,0.780376,2.298,9086.19
20,0,0.001,12.3852,2000,2.86811,2.73934,3.49474,2.93695,553.914,533.297,1994.09,1919.87,0.613281,1571.02,139.661,178.852,765.625,765.625,0.265115,530.23,0.0182677,36.5355,13.6451,27290.3,191.41,-1.74653,1.348e-11,0.745742,2.27687,9535.62
21,0,0.001,12.3179,2000,2.9344,2.80945,3.5497,3.00096,564.516,544.691,2032.26,1960.89,0.710938,1597.76,134.93,174.018,765.625,765.625,0.270568,541.137,0.0191289,38.2578,13.5789,27157.9,195.125,-1.84571,1.05699e-11,0.707066,2.31691,9984.52
