step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,6.79537,2000,5.62847,5.24087,3.582,5.67675,582.97,544.78,2098.69,1961.21,25.1,2196.05,26.5269,45.9135,778.75,782.5,0.20964,419.28,-0.000141204,-0.282407,2.00677,4013.54,59.4891,-0.121117,-5.87048e-12,0.0850342,3.89195,467.982
1,0,0.001,6.60989,2000,5.63728,5.25589,3.5009,5.68528,585.195,547.283,2106.7,1970.22,23.7156,2175.75,25.6848,45.7219,778.75,782.5,0.214352,428.705,0.000616481,1.23296,2.0487,4097.4,59.7156,-0.247601,3.53127e-11,0.183251,3.5204,1140.56
2,0,0.001,6.90733,2000,5.2704,4.87837,3.28268,5.32021,585.611,550.703,2108.2,1982.53,19.2344,2091.3,25.8877,47.4613,778.75,782.5,0.227266,454.531,0.00211833,4.23666,2.22731,4454.61,59.8219,-0.403109,1.06921e-11,0.270162,3.63255,1842.57
3,0,0.001,6.93891,2000,5.11981,4.54561,3.24623,5.19422,593.73,564.544,2137.43,2032.36,15.2438,2156.56,23.8014,45.0142,778.75,782.5,0.244163,488.325,0.00386106,7.72213,2.33215,4664.3,60.5906,-0.561187,1.34292e-10,0.28186,3.66742,2566.54
4,0,0.001,7.04123,2000,4.94292,4.40236,3.18733,5.01283,590.533,561.203,2125.92,2020.33,14.3344,2089.72,25.272,47.1081,778.75,782.5,0.244766,489.531,0.00302023,6.04047,2.39088,4781.76,60.2734,-0.469621,7.65094e-11,0.292558,3.79533,3316.67
5,0,0.001,6.93191,2000,4.94319,4.2684,3.26207,5.03271,595.556,570.036,2144,2052.13,12.7031,2133.84,24.0172,44.6512,778.75,782.5,0.25326,506.52,0.00360689,7.21379,2.35115,4702.29,60.7172,-0.509391,-6.96854e-11,0.31359,11.5494,4076.82
6,0,0.001,6.98676,2000,4.78019,3.99763,3.28394,4.88762,591.061,567.572,2127.82,2043.26,11.45,2137.91,26.4555,46.7274,778.75,782.5,0.255161,510.322,0.00313326,6.26652,2.40573,4811.46,60.2672,-0.418279,1.55818e-11,0.297565,6.03253,4854.2
7,0,0.001,6.98752,2000,4.77018,4.02206,3.27939,4.87219,593.881,569.03,2137.97,2048.51,11.8531,2069.28,24.9019,45.5071,778.75,782.5,0.254882,509.764,0.00282755,5.6551,2.41095,4821.9,60.575,-0.397716,-3.76938e-11,0.301471,3.90064,5640.99
8,0,0.001,6.94396,2000,4.93585,4.25288,3.25859,5.02701,595.856,570.381,2145.08,2053.37,12.8187,2148.08,23.7256,44.5013,778.75,782.5,0.253144,506.288,0.00250635,5.01271,2.36436,4728.71,60.8109,-0.399614,-3.52554e-11,0.298292,3.95106,6425.95
9,0,0.001,7.039,2000,4.9647,4.39015,3.20709,5.03959,591.406,562.881,2129.06,2026.37,14.0625,2122.76,24.8967,46.664,778.75,782.5,0.246284,492.569,0.00124463,2.48925,2.40144,4802.88,60.3984,-0.269402,3.08644e-11,0.301424,5.53047,7266.76
10,0,0.001,6.92494,2000,4.93979,4.29311,3.28873,5.02512,595.531,570.056,2143.91,2052.2,12.3281,2141.64,23.6234,44.5575,778.75,782.5,0.254208,508.416,0.00226926,4.53851,2.36755,4735.09,60.7437,-0.365574,-8.56295e-11,0.294895,4.18762,8114.92
11,0,0.001,7.01813,2000,4.84817,4.20162,3.28088,4.93393,594.828,569.48,2141.38,2050.13,11.9781,2098.6,23.8069,45.1082,778.75,782.5,0.254795,509.589,0.0021951,4.39021,2.41078,4821.57,60.6625,-0.357953,-8.14192e-11,0.283668,6.85983,8970.12
12,0,0.001,7.09323,2000,4.60701,3.85777,3.28278,4.71021,592.614,569.047,2133.41,2048.57,10.7562,2064.64,25.4568,46.5171,778.75,782.5,0.257633,515.266,0.0022072,4.4144,2.47826,4956.53,60.4734,-0.324363,-2.35553e-11,0.289528,4.01447,9850.72
13,0,0.001,7.00568,2000,4.61775,3.83459,3.29737,4.7264,591.061,568.044,2127.82,2044.96,10.8688,2121.5,26.2687,47.1038,778.75,782.5,0.25685,513.7,0.00187819,3.75638,2.47838,4956.76,60.2812,-0.272631,-8.71482e-11,0.286191,4.74147,10750.3
14,0,0.001,6.9646,2000,4.91689,4.23911,3.29946,5.00736,596.153,569.788,2146.15,2051.24,12.8375,2093.25,23.3011,44.2875,778.75,782.5,0.2528,505.6,0.00147641,2.95282,2.38607,4772.15,60.8062,-0.290313,4.83201e-12,0.277526,15.1831,11661.4
15,0,0.001,7.19266,2000,4.73269,3.96603,3.32661,4.83771,592.803,569.337,2134.09,2049.62,11.3625,2129.34,25.5343,46.0817,778.75,782.5,0.256262,512.525,0.00162068,3.24135,2.42547,4850.93,60.4391,-0.265929,6.22058e-11,0.275779,6.01034,12565.8
16,0,0.001,7.11394,2000,4.66301,3.89437,3.31611,4.76882,593.263,569.788,2135.74,2051.23,11.1375,2109.35,25.0952,45.8364,778.75,782.5,0.25705,514.1,0.00164637,3.29273,2.4461,4892.2,60.5172,-0.257809,-3.18765e-11,0.275846,10.0416,13471.5
17,0,0.001,6.97582,2000,4.76217,4.03974,3.3247,4.85999,594.736,570.822,2141.05,2054.96,11.4281,2109.71,24.3634,45.0558,778.75,782.5,0.256841,513.681,0.001666,3.332,2.40607,4812.15,60.6625,-0.279022,-2.3197e-11,0.271107,4.12959,14383.4
18,0,0.001,7.05864,2000,4.77663,4.04927,3.3159,4.87518,594.812,570.703,2141.32,2054.53,11.7125,2107.78,24.3647,45.0307,778.75,782.5,0.25607,512.141,0.0014332,2.86641,2.40444,4808.87,60.6547,-0.259049,-1.44152e-11,0.2733,4.22319,15305.3
19,0,0.001,6.9935,2000,4.90087,4.26108,3.27575,4.98554,594.83,568.873,2141.39,2047.94,12.5437,2115.55,23.924,45.143,778.75,782.5,0.253077,506.155,0.00110766,2.21532,2.38862,4777.24,60.7172,-0.23954,3.71831e-12,0.266847,40.2298,16295.4
20,0,0.001,7.51232,2000,4.80021,4.12247,3.28091,4.89108,596.414,571.786,2147.09,2058.43,11.3688,2088.59,23.2671,44.3455,778.75,782.5,0.257471,514.942,0.0017227,3.44539,2.4053,4810.6,60.8531,-0.29342,-5.82708e-11,0.266589,4.8004,17274.7
21,0,0.001,6.9952,2000,4.88794,4.20276,3.29088,4.97948,596.061,570.636,2145.82,2054.29,12.5938,2124.95,23.4289,44.2465,778.75,782.5,0.253834,507.667,0.0010179,2.0358,2.3782,4756.41,60.7641,-0.240684,-2.14392e-12,0.272957,47.51,18257.4
