step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
21,0,0.001,12.6997,2000,4.00159,4.00159,3.88862,,545.941,532.447,1965.39,1916.81,0.78125,1878.57,43.4054,63.976,778.75,782.5,0.26427,528.541,0.00908021,18.1604,20.5642,41128.4,554.894,-0.777444,6.46348e-11,0.0811765,3.30517,8808.31
22,0,0.001,14.2273,2000,3.43598,3.43598,3.40927,,547.406,530.225,1970.66,1908.81,1.16875,1728.24,48.2986,72.6391,778.75,782.5,0.262191,524.381,0.00854051,17.081,24.3325,48665.1,556.55,-0.823538,3.27458e-12,0.0517127,3.60405,9229.09
23,0,0.001,12.4817,2000,4.24856,4.24856,3.90792,,570.031,557.297,2052.11,2006.27,0.68125,1957.17,33.7231,53.7317,778.75,782.5,0.276945,553.891,0.00959214,19.1843,20.0026,40005.3,578.944,-0.863635,2.80597e-11,0.0737807,3.28263,9634.37
24,0,0.001,12.4045,2000,4.24724,4.24724,3.89754,,559.656,547.909,2014.76,1972.47,0.61875,2010.18,39.0927,59.0044,778.75,782.5,0.272408,544.816,0.0087681,17.5362,19.9062,39812.3,568.609,-0.755693,5.80329e-11,0.0741389,3.45928,10037.7
25,0,0.001,12.1843,2000,4.63341,4.63341,3.89976,,603.581,592.647,2172.89,2133.53,0.7125,2089.48,22.6127,41.8798,778.75,782.5,0.294542,589.084,0.0106908,21.3817,19.262,38524.1,612.606,-1.08002,-1.07455e-11,0.0523332,3.16451,10439.3
26,0,0.001,11.8291,2000,4.83928,4.83928,3.95647,,605.85,595.922,2181.06,2145.32,0.4875,2140.88,21.0474,39.5683,778.75,782.5,0.296742,593.484,0.0105582,21.1164,18.5162,37032.3,614.884,-1.05898,1.02557e-11,0.0550908,3.17478,10835.6
27,0,0.001,11.9532,2000,4.77495,4.77495,3.9223,,609.406,598.516,2193.86,2154.66,0.5625,2073,19.6375,38.4786,778.75,782.5,0.297852,595.703,0.0103536,20.7072,18.8359,37671.8,618.341,-1.04456,5.94669e-12,0.05439,3.169,11239.7
28,0,0.001,11.975,2000,4.78677,4.78677,3.93313,,607.731,597.384,2187.83,2150.58,0.5375,2131.95,20.1647,39.0009,778.75,782.5,0.297348,594.697,0.0100057,20.0115,18.8312,37662.5,616.741,-1.00859,4.65855e-12,0.057052,3.18507,11645.1
29,0,0.001,12.7343,2000,4.31526,4.31526,3.78662,,598.522,586.062,2154.68,2109.82,0.7625,1988.15,25.1724,45.7889,778.75,782.5,0.291125,582.25,0.00910308,18.2062,20.6107,41221.4,607.544,-0.929376,-4.56475e-12,0.0524098,3.33579,12054.6
30,0,0.001,12.0234,2000,4.83478,4.83478,3.91264,,611.844,601.131,2202.64,2164.07,0.525,2103.62,18.1953,36.9311,778.75,782.5,0.299253,598.506,0.00972326,19.4465,18.7306,37461.2,620.716,-0.983524,2.6772e-12,0.0567574,4.74824,12461.2
31,0,0.001,12.0241,2000,4.80235,4.80235,3.92691,,610.241,599.569,2196.87,2158.45,0.55,2117.63,18.9171,37.7672,778.75,782.5,0.298409,596.819,0.00942177,18.8435,18.845,37689.9,619.147,-0.956251,-4.0507e-12,0.0574673,3.27533,12864.4
32,0,0.001,12.4439,2000,4.55392,4.55392,3.86409,,606.666,595.203,2184,2142.73,0.7875,2064.98,21.1186,40.8072,778.75,782.5,0.295633,591.266,0.00891668,17.8334,19.6833,39366.6,615.641,-0.913979,-1.33947e-12,0.055061,3.34231,13276.1
33,0,0.001,12.1056,2000,4.61386,4.61386,3.96809,,588.822,578.106,2119.76,2081.18,0.4875,2069.44,28.3007,47.2817,778.75,782.5,0.287834,575.669,0.00791828,15.8366,18.976,37951.9,597.797,-0.756458,-2.30596e-11,0.0681567,3.20582,13680.4
34,0,0.001,12.4386,2000,4.5484,4.5484,3.84165,,609.547,597.55,2194.37,2151.18,0.80625,2034.78,19.7297,39.5119,778.75,782.5,0.296759,593.519,0.00869601,17.392,19.7766,39553.2,618.4,-0.899384,-1.35775e-12,0.0542598,4.73253,14090.7
35,0,0.001,12.1802,2000,4.74485,4.74485,3.85408,,619.163,607.828,2228.99,2188.18,0.6375,2072.25,15.1058,34.2778,778.75,782.5,0.30232,604.641,0.00913748,18.275,19.1667,38333.4,627.997,-0.945527,-1.32515e-12,0.0556036,3.15682,14497.5
36,0,0.001,12.0869,2000,4.77601,4.77601,3.89212,,613.056,601.987,2207,2167.15,0.71875,2097.45,17.2292,36.1732,778.75,782.5,0.299197,598.394,0.00862422,17.2484,18.9388,37877.7,621.919,-0.87836,5.85348e-12,0.0597353,3.22241,14905
37,0,0.001,12.2204,2000,4.77113,4.77113,3.83302,,621.978,610.606,2239.12,2198.18,0.84375,2093.88,14.1962,33.5205,778.75,782.5,0.303194,606.388,0.0089004,17.8008,19.3191,38638.1,630.934,-0.929581,-3.11518e-12,0.0557067,3.17272,15318
38,0,0.001,12.2099,2000,4.75619,4.75619,3.85344,,620.5,609.478,2233.8,2194.12,0.875,2100.4,14.5005,33.7257,778.75,782.5,0.302552,605.103,0.00868973,17.3795,19.2201,38440.2,629.547,-0.908834,-3.61741e-12,0.0548689,3.2935,15729.4
39,0,0.001,11.9604,2000,4.82979,4.82979,3.89193,,614.172,603.597,2211.02,2172.95,0.6375,2129.86,17.1923,35.9853,778.75,782.5,0.300205,600.409,0.0083173,16.6346,18.788,37576.1,623.041,-0.852309,-1.29467e-12,0.059702,3.36649,16155.3
40,0,0.001,12.288,2000,4.7143,4.7143,3.85222,,616.072,604.984,2217.86,2177.94,0.725,2100.14,16.8487,36.1054,778.75,782.5,0.30068,601.359,0.0082237,16.4474,19.2516,38503.1,625.022,-0.859179,5.63567e-12,0.0545209,4.86256,16567.1
41,0,0.001,12.3654,2000,4.65615,4.65615,3.8292,,616.503,605.019,2219.41,2178.07,0.94375,2086.57,16.8372,36.4391,778.75,782.5,0.30015,600.3,0.00802913,16.0583,19.5967,39193.3,625.519,-0.847716,6.77942e-12,0.0542232,3.22624,16982.9
42,0,0.001,12.226,2000,4.72803,4.72803,3.83755,,621.462,610.028,2237.26,2196.1,0.64375,2067.43,14.063,33.3978,778.75,782.5,0.303405,606.809,0.00830221,16.6044,19.3294,38658.7,630.306,-0.86687,1.47662e-11,0.05581,3.22695,17400.1
43,0,0.001,12.1446,2000,4.71599,4.71599,3.89976,,603.1,592.038,2171.16,2131.34,0.8,2088.81,21.4204,40.4812,778.75,782.5,0.294019,588.038,0.00706146,14.1229,19.0557,38111.4,612.106,-0.699419,3.63584e-11,0.065257,3.30455,17819.4
44,0,0.001,12.3127,2000,4.67946,4.67946,3.83947,,614.791,603.178,2213.25,2171.44,0.7875,2089.48,17.3553,36.8236,778.75,782.5,0.29962,599.241,0.00762712,15.2542,19.4629,38925.8,623.569,-0.806984,5.97395e-12,0.055561,3.83762,18233.5
45,0,0.001,12.0547,2000,4.8183,4.8183,3.88507,,611.375,601.059,2200.95,2163.81,0.63125,2124.96,18.2594,37.0621,778.75,782.5,0.298952,597.903,0.00745576,14.9115,18.7979,37595.8,620.553,-0.761912,-2.83743e-11,0.0620565,3.30686,18648.1
46,0,0.001,12.3928,2000,4.65663,4.65663,3.81502,,616.416,604.703,2219.1,2176.93,0.75,2053.88,16.8271,36.4613,778.75,782.5,0.300477,600.953,0.00754252,15.085,19.6288,39257.5,625.375,-0.800619,-7.32309e-12,0.0551007,3.25688,19068.2
