step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,11.5854,2000,5.38524,5.048,3.44241,5.45206,578.698,540.727,2083.31,1946.62,23.4219,2152.94,28.8989,49.3043,778.75,782.5,0.211809,423.617,8.19618e-05,0.163924,3.16092,6321.84,88.1125,-0.144855,-7.08525e-12,0.122184,5.92951,1032.68
1,0,0.001,8.36482,2000,5.21969,4.86288,3.36769,5.29019,584.302,548.844,2103.49,1975.84,20.25,2091.35,26.3535,47.543,778.75,782.5,0.223797,447.594,0.00155025,3.1005,3.32173,6643.45,89.0172,-0.334706,-6.92573e-12,0.20907,5.16333,2462.12
2,0,0.001,8.25236,2000,5.29181,4.87425,3.4956,5.37429,591.358,559.737,2128.89,2015.05,18.1719,2197.47,23.7889,44.0035,778.75,782.5,0.234439,468.878,0.00227877,4.55754,3.24193,6483.87,90.0266,-0.385513,-2.52352e-11,0.206267,5.30507,3837.72
3,0,0.001,7.98851,2000,5.11397,4.66136,3.49545,5.20423,592.781,563.769,2134.01,2029.57,16.025,2144.13,23.9887,44.1733,778.75,782.5,0.241822,483.644,0.00249749,4.99499,3.29252,6585.04,90.1734,-0.399464,1.01695e-11,0.211219,9.77449,5219.85
4,0,0.001,7.66944,2000,5.0965,4.67677,3.44274,5.1798,594.122,565.331,2138.84,2035.19,15.4406,2162.84,23.0548,43.5724,778.75,782.5,0.244064,488.128,0.00232108,4.64216,3.31005,6620.1,90.4578,-0.373586,-6.66883e-11,0.242044,4.80266,7014.82
5,0,0.001,10.343,2000,5.06628,4.68317,3.30376,5.14207,589.134,556.858,2120.88,2004.69,16.7812,2109.64,24.3188,46.168,778.75,782.5,0.236476,472.952,0.0009312,1.8624,3.48448,6968.97,89.7375,-0.260757,1.02024e-11,0.249006,5.85598,8675.42
6,0,0.001,7.73203,2000,4.89331,4.5076,3.30673,4.96981,593.002,563.039,2134.81,2026.94,14.6125,2056.22,23.0675,44.9819,778.75,782.5,0.244988,489.977,0.00200312,4.00624,3.51446,7028.91,90.2828,-0.350286,-1.26453e-11,0.239683,5.96062,10240
7,0,0.001,11.0394,2000,4.89421,4.45903,3.32658,4.98129,595.508,568.506,2143.83,2046.62,12.6781,2063.33,22.7635,44.0001,778.75,782.5,0.252558,505.116,0.00278751,5.57501,3.45208,6904.16,90.6656,-0.414585,6.91514e-12,0.240937,5.89325,11855.8
8,0,0.001,13.5264,2000,4.87834,4.44968,3.34063,4.96405,596.616,569.709,2147.82,2050.95,12.85,2085.38,22.2099,43.5631,778.75,782.5,0.25273,505.459,0.0025948,5.1896,3.46971,6939.42,90.8203,-0.406542,1.0596e-11,0.216136,14.5571,14053.4
9,0,0.001,10.6503,2000,4.9447,4.45195,3.39476,5.04428,600.091,574.345,2160.33,2067.64,12.8656,2148.59,21.2605,41.8087,778.75,782.5,0.255009,510.017,0.00277618,5.55236,3.38735,6774.7,91.3266,-0.425968,-2.08329e-11,0.206955,13.5584,15751.2
10,0,0.001,12.1177,2000,4.85342,4.37069,3.35743,4.95109,599.489,573.622,2158.16,2065.04,12.175,2077.16,21.6183,42.6659,778.75,782.5,0.256373,512.747,0.0026827,5.3654,3.47255,6945.09,91.3141,-0.404951,1.37159e-11,0.208663,13.0183,17500.9
11,0,0.001,11.7925,2000,4.77995,4.29394,3.33558,4.87859,599.478,574.411,2158.12,2067.88,11.425,2096.17,21.6103,42.9142,778.75,782.5,0.258643,517.286,0.00280305,5.6061,3.52126,7042.51,91.275,-0.414828,-4.07835e-11,0.215491,12.6172,19272
12,0,0.001,10.8603,2000,4.71338,4.20036,3.35371,4.81833,600.167,575.748,2160.6,2072.69,11.0062,2096.15,21.5088,42.81,778.75,782.5,0.260359,520.717,0.00288776,5.77552,3.55085,7101.69,91.3703,-0.411608,-2.02498e-11,0.214338,5.83834,20855.2
13,0,0.001,11.4253,2000,4.8179,4.31112,3.34691,4.92115,601.667,577.086,2166,2077.51,11.2031,2130.36,20.7778,41.9172,778.75,782.5,0.260535,521.07,0.00279215,5.5843,3.507,7014.01,91.5875,-0.41035,-4.76393e-11,0.214245,6.30651,22549.3
14,0,0.001,7.86702,2000,4.75193,4.23143,3.34822,4.85867,601.931,577.614,2166.95,2079.41,11.0625,2125.69,20.7892,41.9137,778.75,782.5,0.261151,522.302,0.00269508,5.39017,3.51901,7038.01,91.6297,-0.405529,-1.72101e-11,0.213531,7.44958,24267.3
15,0,0.001,8.90813,2000,4.68289,4.13253,3.34559,4.7968,601.181,577.311,2164.25,2078.32,10.7094,2118.54,21.3472,42.5344,778.75,782.5,0.261882,523.764,0.00260355,5.20709,3.55911,7118.22,91.4922,-0.384254,-1.14713e-12,0.21495,16.4378,25885.5
16,0,0.001,13.5395,2000,4.82558,4.34372,3.33689,4.92313,599.972,574.931,2159.9,2069.75,11.5281,2115.1,21.4042,42.5804,778.75,782.5,0.258645,517.291,0.0019409,3.88179,3.4877,6975.39,91.3125,-0.325161,-7.03316e-12,0.206673,9.93789,27451.2
17,0,0.001,14.9078,2000,4.81686,4.32775,3.33582,4.91617,601.209,576.384,2164.35,2074.98,11.2781,2100.08,20.8358,41.9892,778.75,782.5,0.259997,519.994,0.00205501,4.11001,3.49065,6981.29,91.5203,-0.33992,7.76756e-12,0.206583,6.50256,29138.8
18,0,0.001,10.5162,2000,4.77327,4.26851,3.33571,4.87628,601.595,577.244,2165.74,2078.08,11.025,2125,20.8715,42.0594,778.75,782.5,0.261059,522.119,0.00216437,4.32874,3.51058,7021.16,91.5781,-0.349367,2.04196e-11,0.211243,6.41231,30823.3
19,0,0.001,7.5268,2000,4.7409,4.22927,3.34513,4.84547,601.492,577.506,2165.37,2079.02,10.6281,2100.88,21.0112,42.21,778.75,782.5,0.262183,524.366,0.0022357,4.47139,3.52304,7046.07,91.5703,-0.346256,1.81355e-11,0.209978,18.2842,32452.5
20,0,0.001,18.3033,2000,4.78079,4.27793,3.34627,4.88335,601.688,577.497,2166.07,2078.99,10.7719,2123.64,20.7612,41.9845,778.75,782.5,0.261819,523.638,0.00213239,4.26479,3.51747,7034.93,91.5797,-0.343765,8.69162e-12,0.209138,22.8525,34532.1
21,0,0.001,12.8183,2000,4.7526,4.24358,3.33963,4.85667,601.984,577.625,2167.14,2079.45,10.7156,2097.92,20.5481,41.8585,778.75,782.5,0.262023,524.047,0.00207055,4.14111,3.53925,7078.5,91.6,-0.345423,1.25608e-11,0.21093,10.4386,36419.6
