step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time,collisions_human
20,0,0.001,7.62171,2000,5.74578,5.3282,3.55072,5.98207,631.383,611.958,2272.98,2203.05,11.1906,2479.78,8.25974,25.2311,778.75,782.5,0.278002,556.005,0.00122445,2.44891,6.07401,12148,213.577,-0.233073,1.60911e-12,0.118539,4.67375,17759.1,
21,0,0.001,7.62715,2000,5.73993,5.31808,3.55731,5.97894,631.833,613.072,2274.6,2207.06,10.6844,2507.72,8.0855,25.0279,778.75,782.5,0.279825,559.65,0.00153063,3.06126,6.07155,12143.1,213.725,-0.266759,1.16238e-12,0.119268,3.99736,18706.1,
22,0,0.001,7.67208,2000,5.66438,5.23148,3.55956,5.91088,630.867,613.075,2271.12,2207.07,9.81563,2521.13,8.65658,25.7059,778.75,782.5,0.281998,563.997,0.00188275,3.76551,6.1305,12261,213.33,-0.300802,1.17227e-11,0.128814,4.04015,19662.6,
23,0,0.001,7.63874,2000,5.67088,5.23556,3.5738,5.91905,630.097,611.52,2268.35,2201.47,10.4344,2503.03,8.98148,25.9735,778.75,782.5,0.279674,559.348,0.00137053,2.74107,6.11421,12228.4,213.05,-0.260731,-8.08956e-12,0.130145,5.2008,20612.7,
24,0,0.001,7.73874,2000,5.56024,5.13365,3.53189,5.80334,628.967,611.278,2264.28,2200.6,9.17812,2445.84,9.47598,26.8844,778.75,782.5,0.282694,565.388,0.00188276,3.76552,6.25953,12519.1,212.67,-0.297975,-8.49925e-12,0.137997,5.2967,21566.2,
25,0,0.001,8.02636,2000,5.61237,5.19857,3.5082,5.84719,630.462,611.947,2269.66,2203.01,9.88125,2470.77,8.57525,25.9654,778.75,782.5,0.28127,562.541,0.00149073,2.98146,6.22478,12449.6,213.253,-0.261043,-1.97249e-11,0.132646,6.16971,22541.4,
26,0,0.001,7.72335,2000,5.57871,5.14966,3.52305,5.82342,630.506,612.583,2269.82,2205.3,9.31875,2441.89,8.75389,26.0857,778.75,782.5,0.282995,565.989,0.00183649,3.67298,6.23158,12463.1,213.234,-0.300545,-1.62468e-11,0.137446,4.26703,23507.2,
27,0,0.001,7.77937,2000,5.52437,5.09083,3.50316,5.77244,630.242,613.114,2268.87,2207.21,8.69688,2448.29,8.9192,26.3694,778.75,782.5,0.284815,569.63,0.00210385,4.20771,6.28106,12562.1,213.158,-0.320331,-5.88576e-12,0.141488,4.23011,24474.7,
28,0,0.001,7.82159,2000,5.47854,5.06105,3.47573,5.71655,629.834,612.089,2267.4,2203.52,8.81563,2432.6,8.94336,26.6268,778.75,782.5,0.284005,568.011,0.0018305,3.66101,6.3447,12689.4,212.975,-0.283945,4.70604e-12,0.141156,5.27656,25453.8,
29,0,0.001,7.80657,2000,5.47931,5.04839,3.48387,5.72605,629.65,612.725,2266.74,2205.81,8.29375,2459.61,9.1107,26.7232,778.75,782.5,0.285628,571.256,0.00211784,4.23568,6.33839,12676.8,212.925,-0.319397,-6.41051e-12,0.144304,4.1268,26436.8,
30,0,0.001,7.82263,2000,5.45767,5.01557,3.48916,5.71186,629.253,612.823,2265.31,2206.16,7.825,2436.81,9.37015,26.9168,778.75,782.5,0.286849,573.698,0.00229954,4.59909,6.32965,12659.3,212.794,-0.329168,-1.61191e-11,0.146146,4.61475,27424.9,
31,0,0.001,7.76983,2000,5.49902,5.05253,3.51691,5.75571,630.642,614.013,2270.31,2210.45,8.19063,2431.91,8.80063,26.158,778.75,782.5,0.28653,573.059,0.00217056,4.34111,6.26306,12526.1,213.259,-0.32226,2.22558e-12,0.139732,4.26632,28414.7,
32,0,0.001,7.83678,2000,5.41978,4.97795,3.51314,5.67391,630.744,614.989,2270.68,2213.96,7.22187,2427.45,8.79187,26.3583,778.75,782.5,0.28944,578.88,0.00264073,5.28145,6.34017,12680.3,213.344,-0.358574,5.11982e-13,0.141567,5.79895,29721.8,
33,0,0.001,7.96075,2000,5.34417,4.91169,3.4717,5.59279,630.337,614.438,2269.22,2211.97,6.84687,2375.24,8.83154,26.6724,778.75,782.5,0.290102,580.203,0.00264903,5.29805,6.43113,12862.3,213.173,-0.354112,2.76554e-11,0.144773,4.21162,30731.5,
34,0,0.001,8.00426,2000,5.26999,4.83638,3.47605,5.51973,629.467,614.255,2266.08,2211.32,6.15937,2371.46,9.37141,27.374,778.75,782.5,0.291729,583.458,0.00285456,5.70912,6.49809,12996.2,212.834,-0.376985,-8.36842e-12,0.145997,8.33798,31738.7,
35,0,0.001,7.43867,2000,5.27267,4.82015,3.56518,5.53474,629.866,615.47,2267.52,2215.69,5.5625,2380.32,9.15399,26.9262,778.75,782.5,0.293829,587.658,0.000461797,0.923594,6.4465,12893,212.805,-0.186823,1.82373e-11,0.146942,4.3685,,4.79688
36,0,0.001,7.36515,2000,5.37544,4.91998,3.60506,5.63868,631.119,616.087,2272.03,2217.91,6.37812,2406.45,8.6497,26.141,778.75,782.5,0.292098,584.197,-0.000236062,-0.472124,6.3367,12673.4,213.119,-0.134604,1.86369e-12,0.138985,3.94651,,5.40625
37,0,0.001,7.41045,2000,5.31002,4.85548,3.5715,5.57305,630.533,616.18,2269.92,2218.25,5.64375,2399.4,8.94121,26.6095,778.75,782.5,0.29398,587.961,0.000236278,0.472556,6.4074,12814.8,212.956,-0.170586,8.16706e-12,0.145876,4.04917,,4.85625
38,0,0.001,7.35011,2000,5.38497,4.9273,3.58816,5.64952,631.573,616.939,2273.66,2220.98,6.11875,2402.96,8.44314,25.9352,778.75,782.5,0.293173,586.345,-1.60068e-06,-0.00320136,6.33762,12675.2,213.384,-0.153947,-8.59939e-12,0.141133,4.07029,,5.14219
39,0,0.001,7.37471,2000,5.36398,4.91881,3.54477,5.62061,632.366,617.263,2276.52,2222.14,6.275,2383.95,7.99379,25.6734,778.75,782.5,0.292944,585.888,-1.25547e-05,-0.0251094,6.38921,12778.4,213.555,-0.151374,-8.05875e-13,0.147044,4.26243,,5.34687
40,0,0.001,7.45258,2000,5.22847,4.78656,3.49491,5.48385,630.766,616.731,2270.76,2220.23,5.00312,2365.12,8.84922,26.8784,778.75,782.5,0.295858,591.716,0.000600428,1.20086,6.52607,13052.1,213.047,-0.195338,-1.32025e-11,0.161134,8.89542,,4.28281
41,0,0.001,7.52651,2000,5.30191,4.86144,3.48443,5.55597,631.402,616.505,2273.05,2219.42,5.69062,2350.89,8.37832,26.2946,778.75,782.5,0.294026,588.052,0.000110702,0.221404,6.47163,12943.3,213.252,-0.153068,1.46281e-11,0.158705,4.36747,,4.87812
42,0,0.001,7.42821,2000,5.29072,4.86222,3.46114,5.5373,630.766,615.295,2270.76,2215.06,6.25312,2338.66,8.48945,26.5355,778.75,782.5,0.292015,584.03,-0.000396281,-0.792563,6.49813,12996.3,213.081,-0.100607,1.00403e-11,0.157489,4.29166,,5.31562
43,0,0.001,7.40723,2000,5.27024,4.84117,3.46759,5.51708,631.263,616.294,2272.54,2218.66,5.70312,2357.27,8.30763,26.3765,778.75,782.5,0.293889,587.778,0.000101687,0.203374,6.51441,13028.8,213.208,-0.150713,1.79082e-12,0.160781,4.41033,,4.75625
44,0,0.001,7.3856,2000,5.30348,4.85624,3.52971,5.56163,632.009,617.683,2275.23,2223.66,5.42812,2370.43,8.22156,26.0177,778.75,782.5,0.295271,590.542,0.000444317,0.888635,6.44346,12886.9,213.481,-0.196727,-6.36773e-12,0.151802,4.36703,,4.60313
45,0,0.001,7.36447,2000,5.30068,4.86137,3.51506,5.55395,632.356,617.834,2276.48,2224.2,5.6125,2377.11,7.95862,25.8363,778.75,782.5,0.294886,589.772,0.00030285,0.6057,6.45742,12914.8,213.555,-0.181035,2.80301e-11,0.150753,6.53138,,4.7375
46,0,0.001,7.51631,2000,5.21616,4.76635,3.54672,5.47666,631.695,618.236,2274.1,2225.65,4.40937,2371.29,8.37034,26.2858,778.75,782.5,0.298095,596.189,0.000980361,1.96072,6.50216,13004.3,213.347,-0.236757,1.34161e-11,0.151717,4.55772,,3.8
