step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
21,0,0.001,8.99799,2000,3.53621,3.41379,2.73864,3.67099,531.766,511.738,1914.36,1842.26,3.65625,1824.13,46.6304,70.6061,765.625,765.625,0.246729,493.457,0.0111109,22.2219,12.2863,24572.7,270.574,-1.18953,4.71182e-12,0.599345,2.66852,7789.35
22,0,0.001,8.80346,2000,3.73352,3.60136,2.86313,3.87903,536.445,515.637,1931.2,1856.29,4.90625,1859.82,44.3339,67.4353,765.625,765.625,0.245553,491.105,0.0103884,20.7767,11.8486,23697.3,272.832,-1.13267,-2.36856e-11,0.588798,2.06622,8128.9
23,0,0.001,8.98021,2000,3.62939,3.50307,2.79953,3.76848,537.848,517.586,1936.25,1863.31,3.94531,1827.01,43.7197,67.3604,765.625,765.625,0.24893,497.859,0.0110803,22.1606,12.1204,24240.8,273.516,-1.20076,1.28307e-11,0.576437,2.13135,8467.9
24,0,0.001,8.94574,2000,3.75434,3.61647,2.87136,3.90607,541.98,520.684,1951.13,1874.46,5.0625,1859.79,42.0206,65.2252,765.625,765.625,0.247686,495.371,0.0103629,20.7259,11.9268,23853.6,275.57,-1.18339,8.40664e-12,0.579857,2.08107,8813.49
25,0,0.001,9.10439,2000,3.53451,3.39365,2.93127,3.68959,532.055,511.902,1915.4,1842.85,3.70312,1823.54,46.5886,70.0618,765.625,765.625,0.246693,493.387,0.00925675,18.5135,12.1266,24253.3,270.57,-1.01127,4.57816e-12,0.629549,2.14317,9157.4
26,0,0.001,8.79009,2000,4.04347,3.88671,3.03696,4.21663,548.652,528.176,1975.15,1901.43,5.78906,1943.37,38.9071,60.7707,765.625,765.625,0.249615,499.23,0.010195,20.39,11.2553,22510.6,278.82,-1.17505,4.6762e-11,0.558355,2.09034,9505.93
27,0,0.001,8.84655,2000,4.09442,3.94049,3.05212,4.2638,552.176,531.73,1987.83,1914.23,6,1995.59,37.5131,59.3557,765.625,765.625,0.250865,501.73,0.0103143,20.6287,11.2369,22473.9,280.652,-1.1972,-1.31305e-11,0.539323,1.93492,9853.25
28,0,0.001,8.88885,2000,4.07631,3.91647,3.05097,4.25251,551.34,531.977,1984.82,1915.12,4.78906,1951.08,37.9224,59.7365,765.625,765.625,0.254016,508.031,0.0107616,21.5231,11.2411,22482.2,280.195,-1.20261,1.20322e-11,0.555403,2.14717,10203.2
29,0,0.001,8.75082,2000,4.06597,3.89265,3.22403,4.25773,552.43,533.512,1988.75,1920.64,4.67188,1978.12,38.0179,59.3226,765.625,765.625,0.255076,510.152,0.0107072,21.4145,11.0405,22081.1,280.68,-1.20144,-2.73305e-11,0.579208,2.05919,10551.6
30,0,0.001,8.77073,2000,4.14755,3.98725,3.11085,4.32413,556.082,536.387,2001.9,1930.99,5.42969,1968.29,35.5877,57.0426,765.625,765.625,0.254619,509.238,0.0102172,20.4345,11.0543,22108.7,282.602,-1.17549,-5.90195e-12,0.520046,2.03156,10897.8
