step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
20,0,0.001,12.5038,2000,5.88548,5.67897,4.19935,6.10754,791.703,784.117,2850.13,2822.82,0.75,2256.81,30.4961,58.6777,765.625,765.625,0.390184,780.367,0.00434619,8.69238,14.5687,29137.4,406.469,-0.507868,1.19921e-11,0.150696,2.70935,9977.28
21,0,0.001,11.7089,2000,5.93752,5.73081,4.18699,6.15972,794.07,786.785,2858.65,2832.43,0.679688,2279.17,29.3139,57.3857,765.625,765.625,0.391693,783.387,0.00453991,9.07982,14.5059,29011.8,407.66,-0.526704,2.39219e-11,0.145437,2.77595,10458.8
22,0,0.001,11.2918,2000,6.02082,5.80113,4.21144,6.25777,789.996,783.141,2843.99,2819.31,0.53125,2273.87,31.6063,59.1425,765.625,765.625,0.390242,780.484,0.00413073,8.26147,14.2529,28505.7,405.57,-0.476382,1.95019e-12,0.150534,2.59048,10940.5
23,0,0.001,11.915,2000,6.12256,5.89238,4.2239,6.3714,787.477,781.617,2834.92,2813.82,0.539062,2315.15,32.8404,59.8192,765.625,765.625,0.389461,778.922,0.00382971,7.65942,13.9789,27957.9,404.367,-0.449718,8.75307e-12,0.148957,2.48186,11417.7
24,0,0.001,12.3101,2000,6.09871,5.87269,4.21113,6.34278,792.98,786.613,2854.73,2831.81,0.484375,2308.84,30.1364,57.4094,765.625,765.625,0.392096,784.191,0.00428901,8.57801,14.1229,28245.8,406.973,-0.497825,1.88779e-11,0.151652,2.87242,11903.6
25,0,0.001,12.0512,2000,5.97294,5.75886,4.19537,6.20356,795.449,788.086,2863.62,2837.11,0.71875,2285.06,28.8569,56.7433,765.625,765.625,0.392246,784.492,0.00415255,8.30511,14.4258,28851.7,408.223,-0.502628,9.7543e-12,0.151557,2.72881,12390.7
26,0,0.001,11.3687,2000,5.95104,5.74425,4.17741,6.17328,798.777,791.336,2875.6,2848.81,0.691406,2286.68,27.1938,55.351,765.625,765.625,0.393939,787.879,0.00443045,8.86089,14.5487,29097.3,409.855,-0.536609,-5.51899e-13,0.147448,2.6124,12839.9
27,0,0.001,11.5933,2000,6.06891,5.85105,4.18131,6.30373,798.012,790.809,2872.84,2846.91,0.695312,2315.92,27.6094,55.3275,765.625,765.625,0.393666,787.332,0.00429887,8.59774,14.3337,28667.4,409.453,-0.512098,1.25054e-11,0.141448,2.63742,13301.2
28,0,0.001,12.6558,2000,5.77498,5.58134,4.16804,5.98266,795.52,787.711,2863.87,2835.76,0.65625,2295.4,29.221,58.2692,765.625,765.625,0.392215,784.43,0.00383887,7.67775,14.9865,29973,408.48,-0.473852,2.66844e-11,0.14747,2.72392,13789.1
29,0,0.001,12.4514,2000,6.05209,5.8301,4.20104,6.2917,798.734,791.781,2875.44,2850.41,0.492188,2276.15,27.1454,54.859,765.625,765.625,0.39466,789.32,0.00431002,8.62003,14.3443,28688.6,409.867,-0.510123,5.12966e-12,0.149371,2.71588,14266.6
30,0,0.001,12.0662,2000,5.88114,5.67856,4.17953,6.09881,797.453,789.402,2870.83,2841.85,0.597656,2240.61,28.0984,56.6982,765.625,765.625,0.393207,786.414,0.00387876,7.75751,14.7667,29533.3,409.426,-0.467353,-1.71044e-12,0.146296,2.63876,14741
31,0,0.001,11.0797,2000,6.22278,5.98626,4.22543,6.47882,796.008,789.668,2865.63,2842.8,0.65625,2307.28,28.7169,55.5362,765.625,765.625,0.393193,786.387,0.00377707,7.55415,13.9013,27802.5,408.387,-0.454351,-1.36974e-11,0.146086,2.54207,15197.3
32,0,0.001,10.9713,2000,6.25596,6.01625,4.22363,6.51561,795.316,789.098,2863.14,2840.75,0.652344,2323.11,28.9764,55.6192,765.625,765.625,0.392918,785.836,0.00362023,7.24046,13.8153,27630.6,408.07,-0.441898,1.09274e-11,0.145986,2.47627,15652.5
33,0,0.001,11.0202,2000,6.28191,6.03871,4.24285,6.54547,790.32,784.527,2845.15,2824.3,0.539062,2307.92,31.5186,57.8301,765.625,765.625,0.390916,781.832,0.0030774,6.1548,13.6509,27301.9,405.457,-0.382592,4.24884e-13,0.141386,2.42571,16110.9
34,0,0.001,11.205,2000,6.22955,5.99401,4.21349,6.48429,796.141,790.098,2866.11,2844.35,0.5,2322.18,28.7943,55.593,765.625,765.625,0.393799,787.598,0.00373392,7.46783,13.8867,27773.5,408.531,-0.453278,2.13876e-11,0.141569,2.70226,16568.7
35,0,0.001,11.9877,2000,6.1272,5.90598,4.17154,6.3658,800.777,793.977,2882.8,2858.32,0.585938,2311.73,26.4761,54.0593,765.625,765.625,0.395523,791.047,0.00405839,8.11677,14.2643,28528.5,410.973,-0.495136,-1.97097e-13,0.142764,2.457,17034.7
36,0,0.001,12.0039,2000,6.34974,6.10023,4.23322,6.62046,792.824,787.379,2854.17,2834.56,0.578125,2348.52,30.525,56.6555,765.625,765.625,0.392244,784.488,0.00315659,6.31318,13.5636,27127.3,406.824,-0.39796,-1.20628e-11,0.137233,2.62927,17496.8
