step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
21,0,0.001,12.04,2000,3.0467,3.0467,3.5801,,510.945,494.516,1839.4,1780.26,0.304688,1716.26,57.1368,81.2189,765.625,765.625,0.246496,492.992,0.00934186,18.6837,24.0741,48148.1,519.668,-0.832602,-8.48768e-12,0.279716,3.09176,9783.25
22,0,0.001,13.4944,2000,2.5222,2.5222,3.03331,,490.141,467.625,1764.51,1683.45,0.5,1454.89,64.6087,92.9065,765.625,765.625,0.232563,465.125,0.00367549,7.35099,28.2867,56573.5,498.797,-0.202832,-9.12928e-12,0.127184,3.33828,10247
23,0,0.001,13.3267,2000,2.58519,2.58519,3.13713,,492.566,470.375,1773.24,1693.35,0.671875,1480.14,64.0014,91.8859,765.625,765.625,0.233508,467.016,0.00384999,7.69998,27.8737,55747.3,501.215,-0.218155,-6.38483e-12,0.144356,3.23867,10707.3
24,0,0.001,13.3348,2000,2.67011,2.67011,3.08096,,497.387,474.91,1790.59,1709.68,0.6875,1488.56,61.0473,88.8811,765.625,765.625,0.235736,471.473,0.0044859,8.97179,27.8229,55645.9,506.086,-0.241808,-1.39842e-12,0.158341,3.31435,11162.8
25,0,0.001,13.7168,2000,2.56427,2.56427,2.81126,,485.926,461.625,1749.33,1661.85,1.02344,1443.8,64.8855,93.9274,765.625,765.625,0.228254,456.508,0.00278178,5.56357,29.0303,58060.5,494.648,-0.0570926,1.46794e-11,0.12556,3.24742,11590.8
26,0,0.001,12.6854,2000,2.6968,2.6968,2.97292,,497.176,474.305,1789.83,1707.5,0.695312,1495.56,59.9949,88.1305,765.625,765.625,0.235414,470.828,0.00436241,8.72482,28.1245,56249,505.887,-0.207732,1.2365e-11,0.166616,3.20656,12004.1
27,0,0.001,11.6531,2000,3.07116,3.07116,3.4845,,525.324,506.574,1891.17,1823.67,0.289062,1599.77,50.0095,74.6977,765.625,765.625,0.252564,505.129,0.00970164,19.4033,24.679,49358,534.074,-0.857353,1.0483e-11,0.21853,4.12282,12384.6
28,0,0.001,13.158,2000,2.50415,2.50415,2.59471,,468.062,444.121,1685.03,1598.84,0.359375,1441.37,72.3689,102.018,765.625,765.625,0.221162,442.324,0.000810144,1.62029,29.6378,59275.5,476.73,0.151889,1.58991e-11,0.117369,3.90943,12810.5
29,0,0.001,13.1559,2000,2.48714,2.48714,2.5683,,464.352,441.012,1671.67,1587.64,0.15625,1434.55,74.2839,103.754,765.625,765.625,0.220115,440.23,0.000557134,1.11427,29.4586,58917.2,473.012,0.159064,1.7994e-12,0.0836603,3.34655,13229.2
30,0,0.001,12.5672,2000,2.62957,2.62957,2.97794,,492.422,470.012,1772.72,1692.04,0.765625,1479.85,63.0017,90.9479,765.625,765.625,0.233092,466.184,0.00321658,6.43315,27.9354,55870.7,501.082,-0.146665,-4.36595e-12,0.130046,3.28432,13633.7
