step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
20,0,0.001,8.32931,2000,5.74224,5.44008,3.56923,6.08267,631.509,621.236,2273.43,2236.45,2.39688,2500.4,8.6111,25.3304,778.75,782.5,0.304626,609.252,0.00124209,2.48419,8.76823,17536.5,320.484,-0.28462,1.08205e-11,0.12991,6.14855,21058.8
21,0,0.001,8.36144,2000,5.79245,5.49038,3.53105,6.13259,631.423,620.984,2273.12,2235.54,2.61563,2515.91,8.33609,25.0583,778.75,782.5,0.303953,607.906,0.000937007,1.87401,8.75927,17518.5,320.386,-0.241577,5.61582e-12,0.126169,4.97902,22142.6
22,0,0.001,8.31475,2000,5.81625,5.51314,3.53434,6.1576,631.986,621.383,2275.15,2236.98,2.82187,2542.85,8.08639,24.7855,778.75,782.5,0.303637,607.273,0.000811021,1.62204,8.74658,17493.2,320.641,-0.243373,2.29012e-12,0.123585,4.49984,23235.2
23,0,0.001,8.29598,2000,5.81631,5.51348,3.5785,6.15721,632.645,622.402,2277.52,2240.65,2.62188,2553.55,7.92685,24.5397,778.75,782.5,0.304646,609.292,0.00110795,2.2159,8.70451,17409,320.988,-0.263796,5.05576e-12,0.118794,5.89994,24329.8
24,0,0.001,8.404,2000,5.73264,5.43589,3.50462,6.06688,629.339,618.659,2265.62,2227.17,2.6625,2523.43,9.06013,26.0547,778.75,782.5,0.302673,605.347,0.000461332,0.922664,8.89299,17786,319.292,-0.171238,4.87165e-12,0.124235,6.07047,25428.9
25,0,0.001,8.39012,2000,5.76831,5.46513,3.5721,6.10996,631.816,621.864,2274.54,2238.71,2.22187,2538.44,8.34229,25.0584,778.75,782.5,0.305377,610.755,0.00125717,2.51434,8.76167,17523.3,320.531,-0.272433,5.63331e-12,0.119393,4.96154,26534.2
26,0,0.001,8.37811,2000,5.78968,5.48712,3.55382,6.13062,632.344,621.989,2276.44,2239.16,2.44687,2518.62,7.95209,24.6699,778.75,782.5,0.304877,609.755,0.00105331,2.10661,8.76092,17521.8,320.752,-0.251842,-4.00517e-13,0.122177,4.52492,27640.9
27,0,0.001,8.34723,2000,5.76956,5.46468,3.58174,6.11327,632.208,622.414,2275.95,2240.69,2.225,2549.99,8.21362,24.8708,778.75,782.5,0.305645,611.289,0.00130589,2.61178,8.7379,17475.8,320.744,-0.281476,6.49625e-12,0.120275,4.54675,28738.4
28,0,0.001,8.39562,2000,5.75205,5.44939,3.52628,6.09345,631.484,621.256,2273.34,2236.52,2.25312,2522.75,8.41442,25.257,778.75,782.5,0.304995,609.991,0.000987395,1.97479,8.82497,17649.9,320.366,-0.235327,2.87195e-12,0.121823,7.7945,29859.2
29,0,0.001,8.54941,2000,5.63773,5.34755,3.45611,5.96446,624.759,613.128,2249.13,2207.26,2.9,2460.06,10.711,28.0797,778.75,782.5,0.299314,598.628,-0.000767806,-1.53561,9.08237,18164.7,316.966,-0.0130517,4.12539e-12,0.125723,5.58476,30988.3
30,0,0.001,8.38362,2000,5.82888,5.53229,3.55522,6.162,631.564,620.186,2273.63,2232.67,3.33438,2493.79,8.30763,25.0662,778.75,782.5,0.301757,603.514,8.42881e-06,0.0168576,8.76547,17530.9,320.461,-0.159981,-1.26467e-11,0.114848,4.61327,32109.9
31,0,0.001,8.3513,2000,5.78278,5.47831,3.62232,6.12576,632.528,622.772,2277.1,2241.98,2.26875,2553.06,8.11945,24.6964,778.75,782.5,0.305714,611.428,0.00126561,2.53121,8.69704,17394.1,320.897,-0.288928,7.08345e-13,0.113386,4.69579,33236.6
32,0,0.001,8.35339,2000,5.83158,5.53126,3.56545,6.16919,632.677,622.098,2277.64,2239.55,2.88437,2558.8,7.94277,24.605,778.75,782.5,0.303838,607.677,0.000670662,1.34132,8.72402,17448,320.933,-0.22282,5.52338e-12,0.114161,6.02107,34373.1
33,0,0.001,8.39398,2000,5.79992,5.49735,3.54972,6.14079,632.586,622.309,2277.31,2240.31,2.39062,2529.06,7.81402,24.5383,778.75,782.5,0.305178,610.356,0.00102583,2.05167,8.76117,17522.3,320.886,-0.248149,-1.00082e-12,0.116864,6.74046,35502.4
34,0,0.001,8.37772,2000,5.8079,5.50122,3.58827,6.15373,633.675,623.975,2281.23,2246.31,2.15937,2552.49,7.52817,24.1092,778.75,782.5,0.306589,613.178,0.00138972,2.77945,8.69714,17394.3,321.461,-0.294434,-4.685e-12,0.113127,4.68428,36637.3
35,0,0.001,8.38648,2000,5.79121,5.4871,3.5481,6.13395,632.381,622.158,2276.57,2239.77,2.45625,2540.44,7.9091,24.6177,778.75,782.5,0.304938,609.877,0.000899055,1.79811,8.75848,17517,320.766,-0.23728,-3.98456e-12,0.116666,4.77349,37777.5
36,0,0.001,8.36132,2000,5.81954,5.51027,3.54215,6.16874,633.122,623.155,2279.24,2243.36,2.3875,2565.84,7.7169,24.3501,778.75,782.5,0.305609,611.217,0.00110429,2.20859,8.72325,17446.5,321.175,-0.256766,-1.43735e-12,0.115822,6.16997,38912.2
37,0,0.001,8.41761,2000,5.79776,5.48764,3.55115,6.14811,633.195,623.209,2279.5,2243.55,2.175,2527.4,7.52092,24.1753,778.75,782.5,0.306167,612.334,0.00124078,2.48155,8.7382,17476.4,321.197,-0.2712,-1.94176e-13,0.11379,5.03794,40052.9
38,0,0.001,8.40994,2000,5.82955,5.52237,3.52957,6.17607,633.355,623.158,2280.08,2243.37,2.31875,2536.66,7.48922,24.1391,778.75,782.5,0.305782,611.564,0.00112372,2.24745,8.72747,17454.9,321.239,-0.252417,1.02682e-11,0.114843,6.03803,41200.2
39,0,0.001,8.45213,2000,5.74821,5.45173,3.48365,6.08212,627.395,615.886,2258.62,2217.19,3.025,2493.07,9.75031,26.8041,778.75,782.5,0.30038,600.761,-0.000643555,-1.28711,8.91999,17840,318.272,-0.0417323,1.8202e-11,0.113948,4.74622,42351.1
40,0,0.001,8.30085,2000,5.87153,5.55871,3.60346,6.2245,634.369,624.625,2283.73,2248.65,2.34063,2566.63,7.31206,23.7127,778.75,782.5,0.306461,612.922,0.00128553,2.57106,8.60761,17215.2,321.767,-0.293078,-5.86689e-12,0.105696,5.9509,43503.5
41,0,0.001,8.3851,2000,5.87336,5.56252,3.56326,6.22399,634.517,624.505,2284.26,2248.22,2.42813,2552.55,7.10085,23.583,778.75,782.5,0.306182,612.364,0.00118829,2.37657,8.64452,17289,321.881,-0.278157,-8.6992e-14,0.10731,5.10387,44661
42,0,0.001,8.34935,2000,5.87862,5.56834,3.59376,6.22831,634.041,624.058,2282.55,2246.61,2.55625,2565.26,7.33793,23.7733,778.75,782.5,0.305638,611.277,0.000995072,1.99014,8.6186,17237.2,321.631,-0.263417,-1.79447e-11,0.101408,4.75284,45809.7
43,0,0.001,8.3216,2000,5.89004,5.57717,3.58026,6.24323,634.417,624.422,2283.9,2247.92,2.52188,2560.14,7.09415,23.5196,778.75,782.5,0.305906,611.812,0.00106506,2.13011,8.61528,17230.6,321.858,-0.265347,1.19493e-11,0.103081,6.26989,46965.4
44,0,0.001,8.41051,2000,5.83532,5.52323,3.53003,6.18805,633.562,623.784,2280.82,2245.62,2.175,2570.72,7.38679,24.0062,778.75,782.5,0.306455,612.909,0.00124083,2.48167,8.71536,17430.7,321.423,-0.258461,7.77659e-12,0.108985,6.27095,48133.6
45,0,0.001,8.37978,2000,5.87016,5.55969,3.5489,6.22041,633.88,623.998,2281.97,2246.39,2.4375,2571.92,7.20847,23.7397,778.75,782.5,0.305905,611.811,0.00099019,1.98038,8.66612,17332.2,321.573,-0.252915,9.77286e-12,0.105338,5.12715,49302
46,0,0.001,8.42274,2000,5.83715,5.52537,3.53534,6.18951,632.922,623.075,2278.52,2243.07,2.21563,2560.02,7.6311,24.2554,778.75,782.5,0.305998,611.997,0.000998741,1.99748,8.71542,17430.8,321.014,-0.236966,-5.90291e-12,0.104135,4.7994,50464.3
47,0,0.001,8.35535,2000,5.82422,5.51039,3.56377,6.17901,633.698,624.289,2281.31,2247.44,2.01875,2581.69,7.57711,24.1166,778.75,782.5,0.307098,614.195,0.00133755,2.67509,8.68131,17362.6,321.45,-0.279548,2.0682e-12,0.101427,4.74083,51630.9
48,0,0.001,8.36237,2000,5.80605,5.49466,3.50727,6.15823,632.763,622.742,2277.95,2241.87,2.09375,2528.21,7.74378,24.4575,778.75,782.5,0.306137,612.273,0.000994776,1.98955,8.76533,17530.7,320.955,-0.233344,-3.79356e-12,0.106857,7.71949,52808.9
49,0,0.001,8.53755,2000,5.77089,5.46782,3.47868,6.11293,628.753,618,2263.51,2224.8,2.60312,2519.64,9.14605,26.1125,778.75,782.5,0.302492,604.984,-0.000160428,-0.320855,8.87897,17757.9,319.003,-0.0842628,-1.11524e-11,0.104529,5.19458,53997.4
50,0,0.001,8.34078,2000,5.88867,5.57572,3.54946,6.24207,634.441,624.395,2283.99,2247.82,2.5,2561.49,7.04148,23.5193,778.75,782.5,0.305948,611.895,0.000995309,1.99062,8.64053,17281.1,321.855,-0.251883,1.19407e-11,0.0986498,4.71029,55180.8
51,0,0.001,8.46416,2000,5.74721,5.44123,3.45389,6.09311,628.264,617.509,2261.75,2223.03,2.39062,2508.81,9.19315,26.2089,778.75,782.5,0.302778,605.556,-0.000108923,-0.217845,8.90996,17819.9,318.72,-0.0841872,-3.23056e-12,0.106694,4.75916,56352.2
52,0,0.001,8.37306,2000,5.84361,5.52685,3.5376,6.20205,633.945,624.65,2282.2,2248.74,1.8875,2582.47,7.32988,23.8717,778.75,782.5,0.307606,615.212,0.00142497,2.84993,8.68187,17363.7,321.591,-0.277798,-7.49101e-12,0.0999224,5.67716,57514.9
53,0,0.001,8.40086,2000,5.80555,5.49061,3.56133,6.16181,633.584,624.508,2280.9,2248.23,1.64688,2545.94,7.61564,24.1612,778.75,782.5,0.308137,616.273,0.00152807,3.05613,8.68959,17379.2,321.461,-0.29065,1.29071e-11,0.0988243,6.74132,58682.9
54,0,0.001,8.37163,2000,5.86581,5.54815,3.58499,6.22506,633.97,624.719,2282.29,2248.99,2.0375,2583.99,7.45441,23.8468,778.75,782.5,0.307266,614.531,0.00131754,2.63509,8.60814,17216.3,321.637,-0.280503,-1.12089e-11,0.0953857,4.83496,59849.1
55,0,0.001,8.35129,2000,5.90971,5.59277,3.54754,6.26787,634.695,624.872,2284.9,2249.54,2.43438,2570.95,7.01243,23.4054,778.75,782.5,0.30635,612.7,0.00100363,2.00727,8.60151,17203,321.977,-0.259473,3.23825e-12,0.0974876,4.82496,61022.6
56,0,0.001,8.39907,2000,5.86684,5.55205,3.50864,6.22268,633.461,623.386,2280.46,2244.19,2.3625,2545.91,7.29269,23.8638,778.75,782.5,0.305787,611.573,0.000766165,1.53233,8.6904,17380.8,321.292,-0.221089,-7.85893e-12,0.100895,6.17903,62192.6
57,0,0.001,8.39409,2000,5.88875,5.57478,3.52987,6.24327,633.986,624.041,2282.35,2246.55,2.2875,2541.37,7.1778,23.6836,778.75,782.5,0.306302,612.603,0.000915757,1.83151,8.65452,17309,321.619,-0.236183,-5.86048e-12,0.0979769,5.15145,63361.9
58,0,0.001,8.34294,2000,5.89422,5.57512,3.57737,6.25516,634.803,625.322,2285.29,2251.16,2.10938,2569.77,7.03569,23.3833,778.75,782.5,0.307387,614.775,0.00124443,2.48886,8.58453,17169.1,322.011,-0.279234,-1.1702e-12,0.0945425,6.27992,64528.7
59,0,0.001,8.35145,2000,5.95651,5.64825,3.55108,6.30335,633.38,622.092,2280.17,2239.53,3.75,2581.46,7.34454,23.7956,778.75,782.5,0.301671,603.342,-0.000642001,-1.284,8.61156,17223.1,321.291,-0.117312,5.99447e-12,0.0927723,5.25938,65707.2
60,0,0.001,8.40034,2000,5.85837,5.54128,3.59299,6.21702,633.708,624.545,2281.35,2248.36,1.82187,2576.26,7.53947,23.9239,778.75,782.5,0.307718,615.436,0.00134413,2.68826,8.60388,17207.8,321.512,-0.274772,-4.09594e-12,0.0919543,6.12406,66885.1
61,0,0.001,8.40353,2000,5.88207,5.56369,3.5608,6.24211,634.862,625.489,2285.51,2251.76,1.94687,2566.49,7.00144,23.4009,778.75,782.5,0.307877,615.755,0.0013275,2.65499,8.6118,17223.6,322.039,-0.283741,2.00327e-11,0.0943134,5.24554,68057.8
